other:0.596;dioktilftalat:0.404
other:0.650;
other:0.559;dioktilftalat:0.441
other:0.679;
other:0.673;
other:0.535;dioktilftalat:0.465
other:0.625;
other:0.584;dioktilftalat:0.416
other:0.572;dioktilftalat:0.428
other:0.658;
other:0.558;dioktilftalat:0.442
other:0.545;dioktilftalat:0.455
other:0.511;dioktilftalat:0.489
other:0.642;
other:0.663;
other:0.548;dioktilftalat:0.452
dioktilftalat:0.515;other:0.485
dioktilftalat:0.560;other:0.440
other:0.581;dioktilftalat:0.419
dioktilftalat:0.513;other:0.487
other:0.543;dioktilftalat:0.457
other:0.595;dioktilftalat:0.405
other:0.524;dioktilftalat:0.476
other:0.678;
other:0.537;dioktilftalat:0.463
other:0.566;dioktilftalat:0.434
dioktilftalat:0.507;other:0.493
other:0.627;
other:0.626;
other:0.539;dioktilftalat:0.461
other:0.663;
other:0.634;
other:0.663;
other:0.632;
other:0.586;dioktilftalat:0.414
other:0.575;dioktilftalat:0.425
other:0.574;dioktilftalat:0.426
other:0.537;dioktilftalat:0.463
other:0.537;dioktilftalat:0.463
other:0.650;
other:0.509;dioktilftalat:0.491
other:0.574;dioktilftalat:0.426
other:0.533;dioktilftalat:0.467
other:0.514;dioktilftalat:0.486
other:0.644;
other:0.620;
other:0.585;dioktilftalat:0.415
other:0.649;
other:0.654;
dioktilftalat:0.518;other:0.482
dioktilftalat:0.555;other:0.445
other:0.684;
other:0.654;
other:0.609;
dioktilftalat:0.528;other:0.472
other:0.555;dioktilftalat:0.445
dioktilftalat:0.523;other:0.477
other:0.655;
dioktilftalat:0.537;other:0.463
other:0.545;dioktilftalat:0.455
other:0.529;dioktilftalat:0.471
other:0.590;dioktilftalat:0.410
other:0.646;
dioktilftalat:0.509;other:0.491
other:0.536;dioktilftalat:0.464
other:0.665;
other:0.682;
other:0.682;
other:0.710;
other:0.626;
other:0.664;
other:0.660;
other:0.674;
other:0.618;
dioktilftalat:0.519;other:0.481
