other:0.746;dioktilftalat:0.251
other:0.911;
other:0.819;dioktilftalat:0.225
other:0.874;dioktilftalat:0.201
other:0.607;dioktilftalat:0.294
other:0.564;dioktilftalat:0.306
other:0.797;dioktilftalat:0.233
other:0.771;dioktilftalat:0.243
other:0.947;
other:0.933;
other:0.544;dioktilftalat:0.312
other:0.384;dioktilftalat:0.362
other:0.654;dioktilftalat:0.280
other:0.836;dioktilftalat:0.218
other:0.789;dioktilftalat:0.236
other:0.829;dioktilftalat:0.221
other:0.437;dioktilftalat:0.346
other:0.765;dioktilftalat:0.245
other:0.825;dioktilftalat:0.223
other:0.686;dioktilftalat:0.270
dioktilftalat:0.468;
other:0.733;dioktilftalat:0.255
other:0.706;dioktilftalat:0.264
other:0.925;
other:0.895;
other:0.903;
other:0.370;dioktilftalat:0.367
other:0.674;dioktilftalat:0.274
other:0.698;dioktilftalat:0.266
other:0.456;dioktilftalat:0.341
other:0.709;dioktilftalat:0.263
other:0.840;dioktilftalat:0.216
other:0.951;
other:0.512;dioktilftalat:0.321
other:0.749;dioktilftalat:0.250
other:0.470;dioktilftalat:0.337
other:0.889;
other:0.877;
other:0.707;dioktilftalat:0.263
other:0.816;dioktilftalat:0.226
dioktilftalat:0.441;
other:0.919;
other:0.862;dioktilftalat:0.206
other:0.490;dioktilftalat:0.331
other:0.508;dioktilftalat:0.322
other:0.550;dioktilftalat:0.310
other:0.861;dioktilftalat:0.207
other:0.736;dioktilftalat:0.254
other:0.813;dioktilftalat:0.227
other:0.704;dioktilftalat:0.265
other:0.590;dioktilftalat:0.299
other:0.972;
other:0.830;dioktilftalat:0.220
other:0.630;dioktilftalat:0.288
other:0.788;dioktilftalat:0.236
other:0.978;
other:0.560;dioktilftalat:0.307
other:0.853;dioktilftalat:0.211
other:0.940;
other:0.679;dioktilftalat:0.272
other:0.935;
other:0.395;dioktilftalat:0.359
other:0.826;dioktilftalat:0.222
other:0.671;dioktilftalat:0.275
other:0.429;dioktilftalat:0.348
other:0.825;dioktilftalat:0.223
other:0.862;dioktilftalat:0.206
other:0.839;dioktilftalat:0.216
other:0.649;dioktilftalat:0.281
other:0.470;dioktilftalat:0.337
other:0.879;
other:0.788;dioktilftalat:0.236
other:0.946;
other:0.914;
other:0.939;
