Chemical;Sensor;UnitRoot;Stationarity
кукла_голова_24;S2;1;0
кукла_голова_24;S3;1;0
кукла_голова_24;S4;1;0
кукла_голова_24;S5;1;0
кукла_голова_24;S6;1;0
кукла_голова_24;S7;1;0
кукла_голова_24;S8;1;0
сапоги_25;S1;1;0
сапоги_25;S2;1;0
сапоги_25;S3;1;0
сапоги_25;S4;0;1
сапоги_25;S5;0;1
сапоги_25;S6;0;1
сапоги_25;S7;1;0
сапоги_25;S8;1;0
пупс_26;S1;1;0
пупс_26;S2;1;0
пупс_26;S3;1;0
пупс_26;S4;1;0
пупс_26;S5;1;0
пупс_26;S6;0;1
пупс_26;S7;1;0
пупс_26;S8;1;0
мишка_рыжий_27;S1;1;0
мишка_рыжий_27;S2;0;1
мишка_рыжий_27;S3;1;0
мишка_рыжий_27;S4;0;1
мишка_рыжий_27;S5;0;1
мишка_рыжий_27;S6;0;1
мишка_рыжий_27;S7;1;0
мишка_рыжий_27;S8;1;0
синий_мишка_28;S1;0;1
синий_мишка_28;S2;1;0
синий_мишка_28;S3;0;1
синий_мишка_28;S4;0;1
синий_мишка_28;S5;0;1
синий_мишка_28;S6;0;1
синий_мишка_28;S7;0;1
синий_мишка_28;S8;0;1
миньон_29;S1;1;0
миньон_29;S2;1;0
миньон_29;S3;1;0
миньон_29;S4;0;1
миньон_29;S5;0;1
миньон_29;S6;0;1
миньон_29;S7;1;0
миньон_29;S8;0;1
зубастик_30;S1;1;0
зубастик_30;S2;1;0
зубастик_30;S3;0;1
зубастик_30;S4;1;0
зубастик_30;S5;0;1
зубастик_30;S6;0;1
зубастик_30;S7;0;1
зубастик_30;S8;0;1
дракончик_31;S1;1;0
дракончик_31;S2;1;0
дракончик_31;S3;1;0
дракончик_31;S4;1;0
дракончик_31;S5;0;1
дракончик_31;S6;0;1
дракончик_31;S7;0;1
дракончик_31;S8;1;0
паучок_32;S1;1;0
паучок_32;S2;1;0
паучок_32;S3;1;0
паучок_32;S4;0;1
паучок_32;S5;0;1
паучок_32;S6;0;1
паучок_32;S7;0;1
паучок_32;S8;0;1
корова_33;S1;1;0
корова_33;S2;1;0
корова_33;S3;1;0
корова_33;S4;0;1
корова_33;S5;0;1
корова_33;S6;0;1
корова_33;S7;1;0
корова_33;S8;1;0
чудик_34;S1;1;0
чудик_34;S2;1;0
чудик_34;S3;1;0
чудик_34;S4;0;1
чудик_34;S5;0;1
чудик_34;S6;0;1
чудик_34;S7;1;0
чудик_34;S8;1;0
свинья_35;S1;1;0
свинья_35;S2;1;0
свинья_35;S3;1;0
свинья_35;S4;0;1
свинья_35;S5;0;1
свинья_35;S6;0;1
свинья_35;S7;0;1
свинья_35;S8;1;0
воробей__36;S1;0;1
воробей__36;S2;1;0
воробей__36;S3;0;1
воробей__36;S4;0;1
воробей__36;S5;0;1
воробей__36;S6;0;1
воробей__36;S7;0;1
воробей__36;S8;0;1
мишка_зеленый_37;S1;1;0
мишка_зеленый_37;S2;1;0
мишка_зеленый_37;S3;0;1
мишка_зеленый_37;S4;0;1
мишка_зеленый_37;S5;0;1
мишка_зеленый_37;S6;0;1
мишка_зеленый_37;S7;1;0
мишка_зеленый_37;S8;0;1
рыжее_солнце_38;S1;1;0
рыжее_солнце_38;S2;1;0
рыжее_солнце_38;S3;1;0
рыжее_солнце_38;S4;1;0
рыжее_солнце_38;S5;1;0
рыжее_солнце_38;S6;1;0
рыжее_солнце_38;S7;0;1
рыжее_солнце_38;S8;1;0
резинки_розовые_39;S1;1;0
резинки_розовые_39;S2;1;0
резинки_розовые_39;S3;1;0
резинки_розовые_39;S4;0;1
резинки_розовые_39;S5;0;1
резинки_розовые_39;S6;0;1
резинки_розовые_39;S7;1;0
резинки_розовые_39;S8;1;0
резинки_синие_40;S1;0;1
резинки_синие_40;S2;1;0
резинки_синие_40;S3;1;0
резинки_синие_40;S4;0;1
резинки_синие_40;S5;0;1
резинки_синие_40;S6;0;1
резинки_синие_40;S7;1;0
резинки_синие_40;S8;0;1
чудик_карри_41;S1;1;0
чудик_карри_41;S2;0;1
чудик_карри_41;S3;1;0
чудик_карри_41;S4;0;1
чудик_карри_41;S5;0;1
чудик_карри_41;S6;0;1
чудик_карри_41;S7;1;0
чудик_карри_41;S8;0;1
ежик_карри_42;S1;1;0
ежик_карри_42;S2;1;0
ежик_карри_42;S3;0;1
ежик_карри_42;S4;0;1
ежик_карри_42;S5;0;1
ежик_карри_42;S6;0;1
ежик_карри_42;S7;1;0
ежик_карри_42;S8;0;1
сиреневый_чудик_43;S1;1;0
сиреневый_чудик_43;S2;1;0
сиреневый_чудик_43;S3;1;0
сиреневый_чудик_43;S4;0;1
сиреневый_чудик_43;S5;0;1
сиреневый_чудик_43;S6;0;1
сиреневый_чудик_43;S7;1;0
сиреневый_чудик_43;S8;1;0
лягушка_44;S1;1;0
лягушка_44;S2;1;0
лягушка_44;S3;1;0
лягушка_44;S4;0;1
лягушка_44;S5;0;1
лягушка_44;S6;0;1
лягушка_44;S7;0;1
лягушка_44;S8;1;0
медуза_45;S1;1;0
медуза_45;S2;1;0
медуза_45;S3;0;1
медуза_45;S4;0;1
медуза_45;S5;0;1
медуза_45;S6;0;1
медуза_45;S7;1;0
медуза_45;S8;0;1
е-ежик_46;S1;1;0
е-ежик_46;S2;1;0
е-ежик_46;S3;1;0
е-ежик_46;S4;1;0
е-ежик_46;S5;1;0
е-ежик_46;S6;1;0
е-ежик_46;S7;1;0
е-ежик_46;S8;1;0
змея_зеленая_47;S1;1;0
змея_зеленая_47;S2;0;1
змея_зеленая_47;S3;0;1
змея_зеленая_47;S4;0;1
змея_зеленая_47;S5;0;1
змея_зеленая_47;S6;0;1
змея_зеленая_47;S7;1;0
змея_зеленая_47;S8;1;0
змея_черная_48;S1;0;1
змея_черная_48;S2;1;0
змея_черная_48;S3;0;1
змея_черная_48;S4;0;1
змея_черная_48;S5;0;1
змея_черная_48;S6;0;1
змея_черная_48;S7;1;0
змея_черная_48;S8;0;1
булова_49;S1;1;0
булова_49;S2;1;0
