Chemical;Sensor;p;d;q;AIC
benzol_8;S1;1;1;2;136.4311661619582
benzol_8;S2;1;1;1;156.91431208810403
benzol_8;S3;2;1;1;145.33258655008115
benzol_8;S4;0;1;1;151.71208513962833
benzol_8;S5;2;1;2;214.79145907591246
benzol_8;S6;1;1;2;172.8171668582041
benzol_8;S7;1;1;1;164.50773841553809
benzol_8;S8;0;1;1;152.84972370292425
benzol_9;S1;0;1;1;166.29251740136215
benzol_9;S2;0;1;1;181.46749082248917
benzol_9;S3;2;1;1;169.1182740810277
benzol_9;S4;0;1;1;174.85227375141162
benzol_9;S5;0;1;1;203.18448288193002
benzol_9;S6;0;1;1;157.32374544421518
benzol_9;S7;0;1;1;177.70860181199907
benzol_9;S8;0;1;1;178.5858796592001
benzol_10;S1;1;1;1;172.52511126892597
benzol_10;S2;0;1;1;137.40069160729715
benzol_10;S3;2;1;0;168.97556657767396
benzol_10;S4;2;1;0;172.45034448698686
benzol_10;S5;1;1;2;188.95330879167807
benzol_10;S6;0;1;1;155.88502511103457
benzol_10;S7;2;1;0;172.9551035736149
benzol_10;S8;0;1;2;196.96176994320084
benzol_11;S1;0;1;1;150.42929574929946
benzol_11;S2;1;1;2;142.2486669929075
benzol_11;S3;1;1;1;132.7998212234052
benzol_11;S4;0;1;1;214.5867018061289
benzol_11;S5;0;1;1;209.50260564267418
benzol_11;S6;2;1;1;197.205907982227
benzol_11;S7;2;1;1;162.10816100013975
benzol_11;S8;0;1;1;151.6145817912081
butanol_12;S1;0;1;2;157.02896632350246
butanol_12;S2;0;1;1;172.59003181915284
butanol_12;S3;0;1;1;159.19496329460034
butanol_12;S4;2;1;2;176.22803726981545
butanol_12;S5;0;1;1;187.64073227572433
butanol_12;S6;0;1;1;195.45829895370244
butanol_12;S7;0;1;2;140.35624410182848
butanol_12;S8;2;1;1;204.92295588021796
butilazetat_13;S1;0;1;1;175.050417324865
butilazetat_13;S2;2;1;1;133.5266379874624
butilazetat_13;S3;1;1;1;158.69940296063288
butilazetat_13;S4;0;1;1;157.19829313820506
butilazetat_13;S5;1;1;2;157.40796127138188
butilazetat_13;S6;0;1;1;159.27546572723256
butilazetat_13;S7;1;1;1;193.13753713147867
butilazetat_13;S8;0;1;1;188.45634903879113
geksan_14;S1;2;1;1;178.48007573710643
geksan_14;S2;1;0;0;177.24797163782736
geksan_14;S3;0;1;2;183.0402830926983
geksan_14;S4;2;1;2;109.43393042171644
geksan_14;S5;0;1;2;148.39869935985058
geksan_14;S6;0;1;1;172.38533990082118
geksan_14;S7;1;0;2;139.53234364882164
geksan_14;S8;0;1;2;161.7017209793932
dioktilftalat_15;S1;2;1;1;162.89595472294567
dioktilftalat_15;S2;0;1;2;147.79780417232027
dioktilftalat_15;S3;1;1;1;139.76569536969902
dioktilftalat_15;S4;0;1;1;178.68281660700657
dioktilftalat_15;S5;1;1;1;178.6093429287716
dioktilftalat_15;S6;1;1;2;165.45086910724135
dioktilftalat_15;S7;1;0;0;179.1512782174148
dioktilftalat_15;S8;0;1;1;173.1515372997412
dioktilftalat_16;S1;0;1;2;134.76583846399083
dioktilftalat_16;S2;0;1;1;154.33665489647066
dioktilftalat_16;S3;1;1;1;163.1206948259252
dioktilftalat_16;S4;2;1;1;170.06360133447956
dioktilftalat_16;S5;0;1;2;199.35050204840735
dioktilftalat_16;S6;2;1;2;171.74147377759326
dioktilftalat_16;S7;2;1;1;125.1500564423697
dioktilftalat_16;S8;1;1;1;187.20931812306546
dioktilftalat_17;S1;0;1;1;175.68383858838664
dioktilftalat_17;S2;1;1;2;159.5335519345512
dioktilftalat_17;S3;0;1;1;195.14753515278235
dioktilftalat_17;S4;2;1;1;160.34985509254128
dioktilftalat_17;S5;2;1;2;200.1240132960341
dioktilftalat_17;S6;1;1;2;212.42815982612368
dioktilftalat_17;S7;1;0;2;149.007682235633
dioktilftalat_17;S8;1;1;2;208.86689582399384
dioktilftalat_18;S1;2;1;1;146.63918244647598
dioktilftalat_18;S2;0;1;2;157.39701494952297
dioktilftalat_18;S3;2;1;1;138.6755416591147
dioktilftalat_18;S4;0;1;2;172.00776536701278
dioktilftalat_18;S5;0;1;2;169.50838692808637
dioktilftalat_18;S6;1;1;1;186.61886019825332
dioktilftalat_18;S7;0;0;1;175.5480643959773
dioktilftalat_18;S8;0;1;1;153.7627146588507
dioktilftalat_19;S1;1;1;2;198.81713848594853
dioktilftalat_19;S2;1;1;1;146.4610229055909
dioktilftalat_19;S3;0;1;1;152.43668457267694
dioktilftalat_19;S4;2;1;0;169.43580674424595
dioktilftalat_19;S5;0;1;1;196.82014069218567
dioktilftalat_19;S6;2;1;0;178.32977034415558
dioktilftalat_19;S7;1;1;1;137.53653159428887
dioktilftalat_19;S8;0;1;2;193.97973396925468
dioktilftalat_20;S1;0;1;1;192.80193570005179
dioktilftalat_20;S2;1;1;1;152.79704036956858
dioktilftalat_20;S3;1;1;1;165.19835202828367
dioktilftalat_20;S4;2;1;0;157.74780444381634
dioktilftalat_20;S5;0;1;1;183.38927510000465
dioktilftalat_20;S6;1;1;2;197.4292874337321
dioktilftalat_20;S7;0;1;1;179.6722061468468
dioktilftalat_20;S8;1;1;1;181.79382114281617
dioktilftalat_21;S1;1;1;2;161.85881456183233
dioktilftalat_21;S2;0;1;2;117.0456393618442
dioktilftalat_21;S3;1;1;2;101.81872142092809
dioktilftalat_21;S4;0;1;1;136.32312934213323
dioktilftalat_21;S5;2;1;0;193.52105361407186
dioktilftalat_21;S6;1;1;1;163.57488981059018
dioktilftalat_21;S7;1;1;1;162.6484796828949
dioktilftalat_21;S8;0;1;2;168.3439771458985
dioktilftalat_22;S1;2;1;1;134.6770872732364
dioktilftalat_22;S2;1;1;1;148.447991861609
dioktilftalat_22;S3;0;1;1;166.20993850203297
dioktilftalat_22;S4;0;1;1;187.51546953380483
