Chemical;Sensor;p;d;q;AIC
dioktilftalat_17;S4;2;1;1;170.06360133447956
dioktilftalat_17;S5;0;1;2;199.35050204840735
dioktilftalat_17;S6;2;1;2;171.7414737775935
dioktilftalat_17;S7;2;1;1;125.15005644236973
dioktilftalat_17;S8;1;1;1;187.20931812306543
dioktilftalat_18;S1;0;1;1;175.68383858838664
dioktilftalat_18;S2;1;1;2;159.53355193455235
dioktilftalat_18;S3;0;1;1;195.14753515278235
dioktilftalat_18;S4;0;1;2;165.254234052773
dioktilftalat_18;S5;1;1;2;206.49783128227324
dioktilftalat_18;S6;1;1;2;212.4281598261237
dioktilftalat_18;S7;1;0;2;149.00768223563304
dioktilftalat_18;S8;1;1;2;208.86689582399376
dioktilftalat_19;S1;2;1;1;146.63918244647604
dioktilftalat_19;S2;0;1;2;157.39701494952297
dioktilftalat_19;S3;2;1;1;138.6755416591147
dioktilftalat_19;S4;0;1;2;172.00776536701275
dioktilftalat_19;S5;0;1;2;169.50838692808637
dioktilftalat_19;S6;1;1;1;186.61886019825334
dioktilftalat_19;S7;0;0;1;175.5480643959773
dioktilftalat_19;S8;0;1;1;153.76271465885068
dioktilftalat_20;S1;1;1;2;198.81713848594853
dioktilftalat_20;S2;1;1;1;146.46102290559097
dioktilftalat_20;S3;0;1;1;152.43668457267694
dioktilftalat_20;S4;2;1;0;169.43580674424598
dioktilftalat_20;S5;0;1;1;196.82014069218565
dioktilftalat_20;S6;2;1;0;178.32977034415558
dioktilftalat_20;S7;1;1;1;137.53653159428887
dioktilftalat_20;S8;0;1;2;193.97973396925465
dioktilftalat_21;S1;0;1;1;192.80193570005179
dioktilftalat_21;S2;1;1;1;152.79704036956858
dioktilftalat_21;S3;1;1;1;165.19835202828367
dioktilftalat_21;S4;2;1;0;157.74780444381634
dioktilftalat_21;S5;0;1;1;183.38927510000468
dioktilftalat_21;S6;1;1;2;197.42928743373236
dioktilftalat_21;S7;0;1;1;179.67220614684678
dioktilftalat_21;S8;1;1;1;181.79382114281614
dioktilftalat_22;S1;1;1;2;161.85881456183245
dioktilftalat_22;S2;0;1;2;117.04563936184414
dioktilftalat_22;S3;1;1;2;101.81872142092786
dioktilftalat_22;S4;0;1;1;136.32312934213323
dioktilftalat_22;S5;2;1;0;193.5210536140718
dioktilftalat_22;S6;1;1;1;163.57488981059018
dioktilftalat_22;S7;1;1;1;162.6484796828949
dioktilftalat_22;S8;0;1;2;168.34397714589852
dioktilftalat_23;S1;2;1;1;134.67708727323642
dioktilftalat_23;S2;1;1;1;148.447991861609
dioktilftalat_23;S3;0;1;1;166.209938502033
dioktilftalat_23;S4;0;1;1;187.51546953380483
dioktilftalat_23;S5;0;1;1;208.33249511909503
dioktilftalat_23;S6;0;1;1;212.1449701594819
dioktilftalat_23;S7;0;0;2;77.84145240287143
dioktilftalat_23;S8;0;1;1;154.7378910066657
dioktilftalat_24;S1;1;1;1;175.51596630377205
dioktilftalat_24;S2;0;1;1;144.32856144171055
dioktilftalat_24;S3;0;1;1;149.6564050425493
dioktilftalat_24;S4;0;1;2;135.83223546239444
dioktilftalat_24;S5;0;1;1;177.12816722891523
dioktilftalat_24;S6;0;1;1;167.229008765875
dioktilftalat_24;S7;1;1;1;180.6103780466676
dioktilftalat_24;S8;0;1;1;161.5192949165422
izobutanol_25;S1;1;1;1;147.82516256825244
izobutanol_25;S2;0;1;1;154.88979200956874
izobutanol_25;S3;0;1;1;192.76195924450624
izobutanol_25;S4;0;1;2;223.74985914879568
izobutanol_25;S5;0;1;1;177.6985573919205
izobutanol_25;S6;2;1;0;167.8380007639201
izobutanol_25;S7;2;1;1;140.2580909532494
izobutanol_25;S8;2;1;0;283.86190864811266
izopropanol_26;S1;2;1;2;159.6085977786205
izopropanol_26;S2;0;1;2;149.22756281421493
izopropanol_26;S3;0;1;1;161.59127676316845
izopropanol_26;S4;0;1;1;185.35663165416761
izopropanol_26;S5;0;1;1;176.7541727691263
izopropanol_26;S6;2;1;1;161.20895355907632
izopropanol_26;S7;0;1;2;147.11585050632922
izopropanol_26;S8;0;1;2;208.5209672034671
plastizol__27;S1;2;1;1;147.10252662373418
plastizol__27;S2;2;1;2;159.0590973967
plastizol__27;S3;0;1;1;123.6329480243185
plastizol__27;S4;2;1;2;107.51846343854186
plastizol__27;S5;0;1;1;197.54153878906325
plastizol__27;S6;1;1;1;189.01483192085828
plastizol__27;S7;0;1;1;138.1795487864413
plastizol__27;S8;0;1;1;179.281166852788
plastizol__28;S1;1;1;1;132.0713303459957
plastizol__28;S2;1;1;1;133.53801233583948
plastizol__28;S3;0;1;2;152.84366360459933
plastizol__28;S4;2;1;0;146.91380221573397
plastizol__28;S5;0;1;2;171.91953939419835
plastizol__28;S6;2;1;2;175.36188389376338
plastizol__28;S7;1;1;1;134.16950353372638
plastizol__28;S8;2;1;0;199.93233696320414
propanol_29;S1;0;1;1;152.96129549989757
propanol_29;S2;2;1;1;170.00099245237627
propanol_29;S3;0;1;1;175.3812958910819
propanol_29;S4;1;1;0;212.74798575193373
propanol_29;S5;0;1;1;151.9829819127962
propanol_29;S6;1;1;1;160.49357303033912
propanol_29;S7;2;1;2;156.12663689149073
propanol_29;S8;1;1;2;194.19137194576282
stirol_30;S1;0;1;1;151.13186648180564
stirol_30;S2;0;1;1;147.87325066866165
stirol_30;S3;1;1;2;140.02434491609932
stirol_30;S4;0;1;1;169.13904502031684
stirol_30;S5;0;1;1;161.86328816808188
stirol_30;S6;0;1;1;185.50001420582115
stirol_30;S7;0;1;1;171.99212591267872
stirol_30;S8;0;1;1;168.73802591941197
toluol_31;S1;2;1;0;160.25037167016842
toluol_31;S2;0;1;1;159.3458631322727
toluol_31;S3;2;1;1;167.00969947681517
toluol_31;S4;0;1;2;186.06535889447963
toluol_31;S5;0;1;1;155.7229894671839
toluol_31;S6;0;1;1;179.4999768343819
toluol_31;S7;1;1;2;168.7113354105127
toluol_31;S8;0;1;1;172.72403990314842
fenol_32;S1;0;1;1;173.6736068574397
fenol_32;S2;1;1;2;95.49309354051803
fenol_32;S3;0;1;1;163.224887984227
fenol_32;S4;0;1;2;192.06483897814604
fenol_32;S5;0;1;1;144.7295568312087
fenol_32;S6;1;1;1;148.3952998774206
fenol_32;S7;0;1;1;170.14848999520288
fenol_32;S8;0;1;2;217.7594252002084
etilazetat_33;S1;2;1;0;150.79609406036062
etilazetat_33;S2;0;1;2;160.17595547821745
etilazetat_33;S3;1;1;2;122.55329561536172
etilazetat_33;S4;1;1;2;177.3287170718435
etilazetat_33;S5;2;1;0;206.07549467548577
etilazetat_33;S6;0;1;1;160.90026950934094
etilazetat_33;S7;1;1;1;132.1906951848182
etilazetat_33;S8;2;1;1;150.2423327673512
etilazetat_34;S1;2;1;0;135.13254664877263
etilazetat_34;S2;1;1;2;134.91594908563118
etilazetat_34;S3;1;1;2;168.76644893036607
etilazetat_34;S4;1;1;2;154.23298617105633
etilazetat_34;S5;0;1;1;179.8230481234335
etilazetat_34;S6;0;1;1;170.05666652578094
etilazetat_34;S7;0;1;1;160.26010462136045
etilazetat_34;S8;1;1;1;126.74826859996801
etilazetat_35;S1;2;1;2;143.0406489596628
etilazetat_35;S2;2;1;1;147.93660550312302
etilazetat_35;S3;0;1;1;157.1707759648489
etilazetat_35;S4;0;1;1;171.57312398464703
etilazetat_35;S5;0;1;1;195.99540285764581
