Chemical;Sensor;Radius
fenol_31;S1;44
fenol_31;S2;47
fenol_31;S3;45
fenol_31;S4;44
fenol_31;S5;45
fenol_31;S6;46
fenol_31;S7;44
fenol_31;S8;43
etilazetat_32;S1;31
etilazetat_32;S2;44
etilazetat_32;S3;46
etilazetat_32;S4;44
etilazetat_32;S5;44
etilazetat_32;S6;43
etilazetat_32;S7;45
etilazetat_32;S8;44
etilazetat_33;S1;45
etilazetat_33;S2;49
etilazetat_33;S3;45
etilazetat_33;S4;44
etilazetat_33;S5;45
etilazetat_33;S6;45
etilazetat_33;S7;44
etilazetat_33;S8;44
etilazetat_34;S1;46
etilazetat_34;S2;45
etilazetat_34;S3;44
etilazetat_34;S4;45
etilazetat_34;S5;45
etilazetat_34;S6;45
etilazetat_34;S7;44
etilazetat_34;S8;46
etilazetat_35;S1;42
etilazetat_35;S2;42
etilazetat_35;S3;43
etilazetat_35;S4;42
etilazetat_35;S5;42
etilazetat_35;S6;38
etilazetat_35;S7;43
etilazetat_35;S8;44
