Chemical;Sensor;JB;p-value;skew;kurtosis
azeton_4;S1;7.137241059089578;0.0281947206503;0.017249161457886367;1.8106888611997858
azeton_4;S2;3.0381407805137526;0.218915298185;-0.3598603927113251;2.7091247228879975
azeton_4;S3;2.9180360813951323;0.232464433303;-0.05838149007976249;2.2482351281093567
azeton_4;S4;8.550381000879314;0.01390939872;-0.04413131603108914;1.7007105608068536
azeton_4;S5;8.252281925103157;0.0161450631629;-0.30100329324325453;1.871104823540246
azeton_4;S6;9.851208793375939;0.00725833803836;-0.3919175388692877;1.8426057975604717
azeton_4;S7;0.2815088175972401;0.868702631225;0.08042976930704059;2.8269084966684566
azeton_4;S8;8.456306934418496;0.0145792868395;0.3353628917066104;1.8921142010501846
propanol_28;S1;6.797924657830524;0.0334079184113;0.00431985509638162;1.8388479652215917
propanol_28;S2;9.094285246570793;0.0105974420472;0.1776463008423526;1.704780968306264
propanol_28;S3;7.521022694855204;0.0232718373377;0.07952519898460865;1.7890185519975794
propanol_28;S4;9.675734058836511;0.00792393756489;0.3115056753850376;1.7626598205338326
propanol_28;S5;7.694301644455831;0.021340452645;-0.013762283587152365;1.7649352757303547
propanol_28;S6;7.739654586320423;0.0208619721194;-0.14372731040117356;1.794799626308798
propanol_28;S7;10.427576425785789;0.00544102284455;0.3295717407588424;1.7217944248219665
propanol_28;S8;11.00567187948868;0.00407519801943;0.5628874137776078;2.043143573804553
benzol_11;S1;7.41273957587655;0.024566543355;0.06867231123126336;1.7952461215057038
benzol_11;S2;9.030513186445656;0.0109407974322;0.4096087402924742;1.9416716536365421
benzol_11;S3;8.930652400207887;0.0115009435391;0.2592925758154048;1.7742600146753538
benzol_11;S4;8.553998988851413;0.0138842594466;0.33777112753847666;1.8863108072393175
benzol_11;S5;8.26115209179934;0.0160736170141;0.20207964711288093;1.7854091691417835
benzol_11;S6;7.848131627434058;0.0197605883222;0.09331416391833756;1.766377661379608
benzol_11;S7;10.154777096602453;0.00623617323528;0.5360860979495554;2.0701519230918444
benzol_11;S8;10.882799727594797;0.00433341283509;0.577218681499978;2.0912391834451873
toluol_30;S1;7.682664644180516;0.0214649840132;-0.37710249821882885;2.0227543129089818
toluol_30;S2;3.7245711374188075;0.155317236169;0.2127578051296964;2.2532106207371987
toluol_30;S3;7.603813937609395;0.0223281521422;0.15859062417464964;1.8135807841587872
toluol_30;S4;8.871092389422362;0.0118485925014;-0.09113753336963072;1.6861007210206234
toluol_30;S5;9.35432848623443;0.00930536425853;-0.22037014496379737;1.7111431444476937
toluol_30;S6;8.928690211772814;0.0115122325852;-0.4173924346561486;1.9636052399387
toluol_30;S7;6.162302040128719;0.0459063870553;-0.17768515025566128;1.9531061494433106
toluol_30;S8;8.169887305846531;0.0168240872774;0.19934227614612957;1.7910648723059
etilazetat_33;S1;8.038307906616538;0.0179681604132;0.13013474354042598;1.7644293156325703
etilazetat_33;S2;6.082424395518815;0.047776939279;0.06683723158754008;1.9097879000137463
etilazetat_33;S3;9.15413778071617;0.0102849986169;0.3808582824373312;1.8884764398854785
etilazetat_33;S4;8.546858841472755;0.0139339158617;0.24855020528221042;1.7966148119974876
etilazetat_33;S5;5.578694145656001;0.0614613305897;0.030476476863790476;1.9498559220258642
etilazetat_33;S6;6.471123838824126;0.0393380938898;-0.4150489344603535;2.2289836426396263
etilazetat_33;S7;8.94254185484999;0.0114327763841;0.22739617942202345;1.7482447442131677
