Chemical;Sensor;JB;p-value;skew;kurtosis
5.1_20;S1;1.2184031001654916;0.543784880776;-0.025613908599594025;2.5110803324099717
5.1_20;S2;3.2477567262263904;0.197132662513;-0.003870635340941358;2.1974271216658288
5.1_20;S3;4.604712871327652;0.100022868347;0.06511320353479022;2.0532304601899196
5.1_20;S4;8.95104340520699;0.0113842813658;-0.6238530273470867;2.5324070476852323
5.1_20;S5;8.878408601710687;0.0118053282732;-0.5101771953421218;2.151540465187935
5.1_20;S6;7.953086818195454;0.0187503397056;-0.4986713230047287;2.236600096906385
5.1_20;S7;128.57510416666696;1.20301453655e-28;2.012461179749812;6.050000000000005
5.1_20;S8;3.891913327988731;0.14285049802;-0.15564444448684786;2.1783863568516213
5.2_21;S1;5.039376224115717;0.0804847050444;-0.4655328843807385;2.6357717314844082
5.2_21;S2;9.433701375893381;0.00894329948526;-0.6776407624663695;2.814637197586791
5.2_21;S3;14.692785785623371;0.000644914445365;-0.8529383513737745;3.0652398329853114
5.2_21;S4;191.75585665981527;2.29479972944e-42;-1.8274004956702048;7.967559684238372
5.2_21;S5;60.024767810544944;9.24245364727e-14;-1.5226734033547435;4.622221284758798
5.2_21;S6;77.62971025144667;1.38970494549e-17;-1.6147661111379779;5.2288450159010855
5.2_21;S7;5.530794045847579;0.0629511013556;0.5212030519873093;2.8979876712072095
5.2_21;S8;5.822720664715012;0.0544016751521;-0.4310054032805479;2.3582390081676228
6.0_22;S1;1.2140319815745182;0.544974654564;-0.15749323184125008;2.623724489795918
6.0_22;S2;8.236498212457017;0.0162729817755;-0.6167801134875177;2.6653139347320507
6.0_22;S3;6.658811783340109;0.0358143763676;-0.38420862899391145;2.145429362880887
6.0_22;S4;31.086204794123095;1.77711853825e-07;0.16548831893267435;5.46095779470666
6.0_22;S5;78.0170197292596;1.14503673135e-17;-1.590107331317887;5.315315290363223
6.0_22;S6;66.03656878152385;4.57447530239e-15;-1.4698374345165783;5.111036254383561
6.0_22;S7;104.3714294338736;2.1678641538e-23;1.5918595061226233;6.2504929439160515
6.0_22;S8;10.1104437635215;0.00637595189794;-0.6730648815703801;2.560327467089626
7.0_23;S1;2.2898385724551322;0.31824960388;0.14895147320592983;3.6045135994050135
7.0_23;S2;1.2436388568746446;0.536966576032;-0.24409135157770007;2.9086226598193314
7.0_23;S3;0.3195874970832158;0.852319562992;0.11190659906618348;2.8846877805192648
7.0_23;S4;5.084229123212563;0.0786998081259;-0.43673935454391355;3.4954564409830575
7.0_23;S5;50.6273181696928;1.01488665681e-11;-1.4437736082250483;4.305317275253033
7.0_23;S6;63.24915488394703;1.84340399533e-14;-1.3945292677366354;5.183217672343663
7.0_23;S7;19.59729464622277;5.55266582829e-05;0.7632292422551284;4.247794535071966
7.0_23;S8;3.0296310989685016;0.21984873232;-0.0667499380631056;2.2363925431486753
8.0_24;S1;39.297808896636354;2.92812237108e-09;-1.2974836707292234;4.029927774197712
8.0_24;S2;28.628536449446052;6.07284641164e-07;-1.1801290153516588;3.327977778869156
8.0_24;S3;33.421618791879666;5.5282502115e-08;-1.2475777311300027;3.6350438035438546
8.0_24;S4;56.369688806234585;5.74748176982e-13;-1.5562523855040056;4.221916025081158
8.0_24;S5;60.046171818245014;9.14406827212e-14;-1.5912971157058087;4.334570511835377
8.0_24;S6;71.14134830303374;3.56330090722e-16;-1.6605427071749481;4.755298358040468
8.0_24;S7;132.3645302907016;1.80887038086e-29;-0.6415618122446846;7.960616441011101
8.0_24;S8;13.025527850874377;0.00148437135632;-0.7852318859397562;2.6576269384308526
__паучок_38;S1;5.6469599004397715;0.0593988774928;-0.3202076662641723;2.15742871878202
__паучок_38;S2;2.110305646125341;0.348139219539;0.1566121997035101;2.4339050465379617
__паучок_38;S3;5.187533404263887;0.0747379934667;-0.5004631323430856;3.164556549961457
__паучок_38;S4;11.628760942844771;0.00298432863175;-0.7539919954930014;3.1803202124870324
__паучок_38;S5;29.848009251332442;3.30055628439e-07;-1.2111810703957016;3.2289715192888346
__паучок_38;S6;25.049370200527903;3.63578650538e-06;-1.109915273334434;3.202045703974503
__паучок_38;S7;20.21821944790988;4.07070311888e-05;-0.3179944153271751;1.101120448179272
__паучок_38;S8;12.491846693713752;0.00193833999118;-0.7860901092220968;3.0772723688652097
булова_53;S1;3.728105886185907;0.155042974897;-0.3914167244970194;3.3558522304043006
булова_53;S2;0.576977173369468;0.749395358184;-0.019675015016412292;2.6640039754223084
булова_53;S3;22.16541255734379;1.53759450626e-05;-1.0473759312208732;3.0919788057992865
булова_53;S4;57.47633773837847;3.30500286355e-13;-1.5014416170305975;4.543683134303169
булова_53;S5;28.505907995605995;6.45685045445e-07;-1.1787772266153325;3.309840920271898
булова_53;S6;38.82825162654771;3.70298786063e-09;-1.3258991744206192;3.818191245421313
булова_53;S7;20.172268518518518;4.16531209553e-05;0.18257418583505525;1.0333333333333334
булова_53;S8;8.711326107630367;0.012833927178;-0.639414134569487;2.6959200870679316
воробей__41;S1;10.538990146921702;0.00514620837431;-0.5988604529451659;2.1901587547223103
воробей__41;S2;13.482042052883173;0.00118144025884;-0.8000550851256012;2.6626997085596518
воробей__41;S3;19.401048312291326;6.12513813497e-05;-0.9793745093659515;2.893022920094986
воробей__41;S4;22.16478358644287;1.53807813341e-05;-1.023064093985578;3.4579084512765004
воробей__41;S5;17.762300190414823;0.000138984228513;-0.930159365419629;2.75037010615088
воробей__41;S6;24.5543886031604;4.65674290523e-06;-1.098215404242243;3.214438004761405
воробей__41;S7;31.324109643313655;1.57781476453e-07;1.2196848709432269;2.487631184407796
воробей__41;S8;23.528436752100966;7.77794513558e-06;-1.0775135026510874;3.1505190311418696
гусеница_8;S1;23.44838260494351;8.09558827177e-06;-1.067896096721649;2.701151258632209
гусеница_8;S2;66.22107858036449;4.17133907234e-15;-1.5865360659165892;4.75110611729402
гусеница_8;S3;9.884341769748247;0.00713908340962;-0.667561248750504;3.4218750000000004
гусеница_8;S4;135.24445457891505;4.28587829353e-30;-1.6163015956477549;7.046680487805541
гусеница_8;S5;68.49455757933305;1.33843042827e-15;-1.6222032273395497;4.749149544191113
гусеница_8;S6;52.494411299817216;3.99009669929e-12;-1.5032969363072453;4.1715408328937045
гусеница_8;S7;47.65700259016564;4.48139655041e-11;-0.6784135590206924;5.758921670630198
гусеница_8;S8;8.987238749018346;0.0111801055033;-0.503010189593632;2.1222097025014683
дракончик_37;S1;4.252915260673379;0.119259005966;-0.35224779007053314;2.410729758349138
дракончик_37;S2;16.96303832181997;0.000207263596676;-0.8870026885144969;2.5336583797628243
дракончик_37;S3;7.741374744666596;0.0208440368856;-0.6022722351512116;2.7092218934269856
дракончик_37;S4;12.637128631715818;0.00180252951248;-0.7792196489593584;2.721064765356563
дракончик_37;S5;15.039237122525462;0.000542339395651;-0.8523322311968682;2.7223162734706303
дракончик_37;S6;18.909214126881796;7.83278712658e-05;-0.9673384989897311;2.9127484127235577
дракончик_37;S7;23.931292705562495;6.35895595071e-06;0.9295803361350237;1.864119601328903
дракончик_37;S8;7.364371095228279;0.0251679090192;-0.5955057396712344;2.7945897740784784
е-ежик_50;S1;10.93002982073674;0.00423227794174;0.3237828119492465;1.6776541443709403
е-ежик_50;S2;6.575312100458471;0.0373412729662;-0.4722035420995527;2.3579023478140804
е-ежик_50;S3;8.624248614353188;0.0134050428976;-0.1570662816259338;1.730387657909672
е-ежик_50;S4;7.971665037681562;0.0185769722039;-0.4362756546218132;2.0945658972481
е-ежик_50;S5;8.4446351664643;0.014664618617;-0.1559072944753826;1.7439185453343353
е-ежик_50;S6;8.235325320613152;0.0162825277981;-0.2842355960190341;1.8553194943664444
