Chemical;Sensor;UnitRoot;Stationarity
plastizol__27;S3;1;0
plastizol__27;S4;0;1
plastizol__27;S5;0;1
plastizol__27;S6;0;1
plastizol__27;S7;1;0
plastizol__27;S8;1;0
plastizol__28;S1;1;0
plastizol__28;S2;1;0
plastizol__28;S3;0;1
plastizol__28;S4;1;0
plastizol__28;S5;1;0
plastizol__28;S6;0;1
plastizol__28;S7;1;0
plastizol__28;S8;0;1
propanol_29;S1;1;0
propanol_29;S2;1;0
propanol_29;S3;1;0
propanol_29;S4;1;0
propanol_29;S5;1;0
propanol_29;S6;1;0
propanol_29;S7;1;0
propanol_29;S8;1;0
stirol_30;S1;1;0
stirol_30;S2;1;0
stirol_30;S3;1;0
stirol_30;S4;1;0
stirol_30;S5;1;0
stirol_30;S6;0;1
stirol_30;S7;1;0
stirol_30;S8;1;0
toluol_31;S1;1;0
toluol_31;S2;1;0
toluol_31;S3;1;0
toluol_31;S4;1;0
toluol_31;S5;1;0
toluol_31;S6;1;0
toluol_31;S7;1;0
toluol_31;S8;1;0
fenol_32;S1;1;0
fenol_32;S2;1;0
fenol_32;S3;1;0
fenol_32;S4;1;0
fenol_32;S5;1;0
fenol_32;S6;1;0
fenol_32;S7;1;0
fenol_32;S8;1;0
etilazetat_33;S1;1;0
etilazetat_33;S2;1;0
etilazetat_33;S3;1;0
etilazetat_33;S4;0;1
etilazetat_33;S5;0;1
etilazetat_33;S6;0;1
etilazetat_33;S7;1;0
etilazetat_33;S8;0;1
etilazetat_34;S1;1;0
etilazetat_34;S2;1;0
etilazetat_34;S3;1;0
etilazetat_34;S4;1;0
etilazetat_34;S5;1;0
etilazetat_34;S6;0;1
etilazetat_34;S7;1;0
etilazetat_34;S8;1;0
etilazetat_35;S1;1;0
etilazetat_35;S2;1;0
etilazetat_35;S3;1;0
etilazetat_35;S4;1;0
etilazetat_35;S5;1;0
etilazetat_35;S6;0;1
etilazetat_35;S7;1;0
etilazetat_35;S8;1;0
etilazetat_36;S1;1;0
etilazetat_36;S2;1;0
etilazetat_36;S3;1;0
etilazetat_36;S4;0;1
etilazetat_36;S5;0;1
etilazetat_36;S6;0;1
etilazetat_36;S7;1;0
etilazetat_36;S8;0;1
