;Chemical;Sensor;Normality;Stationarity;Radius;p;d;q;AIC
99;butanol_12;S4;0;0;43;2;1;2;176.22803726981545
100;butanol_12;S5;0;0;44;0;1;1;187.64073227572436
101;butanol_12;S6;0;0;44;0;1;1;195.45829895370244
102;butanol_12;S7;0;0;43;0;1;2;140.35624410182848
103;butanol_12;S8;0;0;43;2;1;1;204.922955880218
104;butilazetat_13;S1;0;0;44;0;1;1;175.050417324865
105;butilazetat_13;S2;0;0;44;2;1;1;133.5266379874624
106;butilazetat_13;S3;0;0;44;1;1;1;158.69940296063288
107;butilazetat_13;S4;0;0;44;0;1;1;157.19829313820506
108;butilazetat_13;S5;0;0;44;1;1;2;157.40796127138188
109;butilazetat_13;S6;0;0;44;0;1;1;159.27546572723256
110;butilazetat_13;S7;0;0;43;1;1;1;193.1375371314787
111;butilazetat_13;S8;0;0;44;0;1;1;188.45634903879116
112;dioktilftalat_15;S1;1;0;41;2;1;1;178.48007573710643
113;dioktilftalat_15;S2;0;1;3;1;0;0;177.2479716378274
114;dioktilftalat_15;S3;0;0;38;0;1;2;183.04028309269833
115;dioktilftalat_15;S4;0;1;43;2;1;2;109.43393042171644
116;dioktilftalat_15;S5;0;0;42;0;1;2;148.3986993598506
117;dioktilftalat_15;S6;0;0;42;0;1;1;172.38533990082118
118;dioktilftalat_15;S7;0;1;3;1;0;2;139.53234364882164
119;dioktilftalat_15;S8;0;0;38;0;1;2;161.7017209793932
120;dioktilftalat_16;S1;0;0;26;2;1;1;162.8959547229457
121;dioktilftalat_16;S2;0;0;43;0;1;2;147.7978041723203
122;dioktilftalat_16;S3;0;0;43;1;1;1;139.76569536969902
123;dioktilftalat_16;S4;0;0;44;0;1;1;178.68281660700657
124;dioktilftalat_16;S5;0;1;42;1;1;1;178.60934292877158
125;dioktilftalat_16;S6;0;1;44;1;1;2;165.45086910724137
126;dioktilftalat_16;S7;1;1;6;1;0;0;179.1512782174148
127;dioktilftalat_16;S8;0;0;43;0;1;1;173.15153729974116
128;dioktilftalat_17;S1;0;0;44;0;1;2;134.76583846399083
129;dioktilftalat_17;S2;0;0;42;0;1;1;154.33665489647066
130;dioktilftalat_17;S3;0;0;42;1;1;1;163.12069482592517
131;dioktilftalat_17;S4;0;1;40;2;1;1;170.06360133447956
132;dioktilftalat_17;S5;0;0;41;0;1;2;199.35050204840732
133;dioktilftalat_17;S6;0;1;41;2;1;2;171.74147377759326
134;dioktilftalat_17;S7;0;0;38;2;1;1;125.1500564423697
135;dioktilftalat_17;S8;0;0;44;1;1;1;187.20931812306546
136;dioktilftalat_18;S1;0;0;43;0;1;1;175.6838385883866
137;dioktilftalat_18;S2;1;0;43;1;1;2;159.53355193455118
138;dioktilftalat_18;S3;0;1;42;0;1;1;195.14753515278235
139;dioktilftalat_18;S4;0;1;41;2;1;1;160.34985509254128
140;dioktilftalat_18;S5;0;1;42;2;1;2;200.1240132960341
141;dioktilftalat_18;S6;0;1;42;1;1;2;212.4281598261237
142;dioktilftalat_18;S7;0;0;19;1;0;2;149.00768223563298
143;dioktilftalat_18;S8;0;1;43;1;1;2;208.86689582399384
144;dioktilftalat_19;S1;0;0;38;2;1;1;146.63918244647596
145;dioktilftalat_19;S2;0;0;46;0;1;2;157.39701494952297
146;dioktilftalat_19;S3;0;1;44;2;1;1;138.6755416591147
147;dioktilftalat_19;S4;0;1;43;0;1;2;172.00776536701278
148;dioktilftalat_19;S5;0;1;43;0;1;2;169.50838692808637
149;dioktilftalat_19;S6;0;1;43;1;1;1;186.6188601982533
